traccia,y_Mano,y_predict,delta
trace_0,0,0.003420218,0.0034202178940176964
trace_1,1,0.047805715,0.9521942846477032
trace_2,0,0.004580825,0.004580825101584196
trace_3,1,0.9658906,0.034109413623809814
trace_4,1,0.99119264,0.008807361125946045
trace_5,0,0.006757831,0.006757831200957298
trace_6,1,0.99815816,0.0018418431282043457
trace_7,0,0.19547333,0.1954733282327652
trace_8,1,0.99837565,0.0016243457794189453
trace_9,0,0.0012838844,0.0012838843977078795
trace_10,1,0.09210328,0.9078967198729515
trace_11,1,0.989739,0.010260999202728271
trace_12,0,0.4175302,0.41753020882606506
trace_13,0,0.015416626,0.015416625887155533
trace_14,1,0.9880328,0.011967182159423828
trace_15,0,0.0011985501,0.001198550104163587
trace_16,0,0.05616593,0.05616592988371849
trace_17,1,0.97698087,0.023019134998321533
trace_18,1,0.98331547,0.016684532165527344
trace_19,1,0.9744383,0.02556169033050537
trace_20,0,0.0028270856,0.002827085554599762
trace_21,1,0.985201,0.014798998832702637
trace_22,1,0.15945958,0.840540423989296
trace_23,1,0.99262035,0.007379651069641113
trace_24,1,0.99700433,0.0029956698417663574
trace_25,0,0.50949895,0.5094989538192749
trace_26,0,0.01444456,0.014444559812545776
trace_27,0,0.0017052678,0.001705267815850675
trace_28,1,0.9797763,0.020223677158355713
trace_29,0,0.024655307,0.024655306711792946
trace_30,0,0.08992107,0.08992107212543488
trace_31,1,0.9910608,0.008939206600189209
trace_32,0,0.006452142,0.006452141795307398
trace_33,1,0.98894674,0.011053264141082764
trace_34,0,0.0020941303,0.002094130264595151
trace_35,1,0.9980872,0.0019127726554870605
trace_36,0,0.04118114,0.04118113964796066
trace_37,0,0.07404914,0.07404913753271103
trace_38,0,0.013747795,0.013747794553637505
trace_39,1,0.018137883,0.9818621166050434
trace_40,1,0.988839,0.01116102933883667
trace_41,0,0.005578862,0.00557886203750968
trace_42,1,0.9974247,0.0025752782821655273
trace_43,1,0.9971609,0.0028390884399414062
trace_44,1,0.9674741,0.03252589702606201
trace_45,1,0.29314628,0.7068537175655365
trace_46,1,0.98907965,0.010920345783233643
trace_47,1,0.99818295,0.0018170475959777832
trace_48,1,0.9925591,0.007440924644470215
trace_49,1,0.9474389,0.05256110429763794
trace_50,1,0.98767704,0.012322962284088135
trace_51,0,0.026420595,0.0264205951243639
trace_52,0,0.0016752747,0.0016752746887505054
trace_53,0,0.0028350332,0.002835033228620887
trace_54,0,0.0038640667,0.0038640666753053665
trace_55,1,0.9910396,0.008960425853729248
trace_56,1,0.9981906,0.0018094182014465332
trace_57,1,0.99412364,0.005876362323760986
trace_58,1,0.8858579,0.11414211988449097
trace_59,1,0.99347854,0.006521463394165039
trace_60,1,0.99764746,0.0023525357246398926
trace_61,1,0.99098104,0.009018957614898682
trace_62,1,0.9961727,0.0038272738456726074
trace_63,1,0.9943526,0.005647420883178711
trace_64,1,0.99062294,0.009377062320709229
trace_65,0,0.105347455,0.10534745454788208
trace_66,0,0.0034858498,0.0034858498256653547
trace_67,1,0.9701132,0.02988678216934204
trace_68,1,0.99745923,0.002540767192840576
trace_69,1,0.98426646,0.015733540058135986
trace_70,1,0.8589153,0.1410846710205078
trace_71,0,0.0029957385,0.0029957385268062353
trace_72,1,0.9748633,0.025136709213256836
trace_73,1,0.20590493,0.7940950691699982
trace_74,1,0.99773514,0.002264857292175293
trace_75,1,0.97685903,0.02314096689224243
trace_76,0,0.0016251729,0.0016251729102805257
trace_77,0,0.010661018,0.010661018081009388
trace_78,1,0.0052232216,0.9947767783887684
trace_79,0,0.12319629,0.12319628894329071
trace_80,1,0.9712724,0.028727591037750244
trace_81,1,0.99928147,0.000718533992767334
trace_82,0,0.0017409746,0.0017409746069461107
trace_83,1,0.99639755,0.003602445125579834
trace_84,0,0.022121428,0.022121427580714226
trace_85,1,0.98546785,0.014532148838043213
trace_86,1,0.99663347,0.003366529941558838
trace_87,1,0.99822074,0.0017792582511901855
trace_88,1,0.9893253,0.010674715042114258
trace_89,1,0.9921813,0.00781869888305664
trace_90,1,0.9514328,0.04856717586517334
trace_91,1,0.3232769,0.6767230927944183
trace_92,1,0.98395836,0.01604163646697998
trace_93,0,0.90755665,0.9075566530227661
trace_94,1,0.99240416,0.007595837116241455
trace_95,0,0.009927463,0.009927462786436081
trace_96,1,0.9965078,0.0034921765327453613
trace_97,1,0.9955057,0.004494309425354004
trace_98,1,0.9972162,0.0027837753295898438
trace_99,1,0.9319791,0.06802088022232056
trace_100,0,0.3366925,0.3366925120353699
trace_101,1,0.98563784,0.014362156391143799
trace_102,0,0.0013230281,0.0013230281183496118
trace_103,0,0.14182106,0.14182105660438538
trace_104,1,0.9918075,0.008192479610443115
trace_105,1,0.99135405,0.008645951747894287
trace_106,1,0.93928766,0.060712337493896484
trace_107,0,0.028758666,0.028758665546774864
trace_108,1,0.9989594,0.0010405778884887695
trace_109,1,0.9943083,0.005691707134246826
trace_110,0,0.010681592,0.010681591928005219
trace_111,0,0.15534845,0.15534844994544983
trace_112,1,0.99729687,0.0027031302452087402
trace_113,1,0.99315673,0.006843268871307373
trace_114,0,0.03575534,0.03575534000992775
trace_115,0,0.68192554,0.6819255352020264
trace_116,1,0.99642205,0.0035779476165771484
trace_117,1,0.57625455,0.42374545335769653
trace_118,1,0.99552,0.00448000431060791
trace_119,0,0.39484105,0.3948410451412201
trace_120,1,0.9873935,0.012606501579284668
trace_121,1,0.30827817,0.6917218267917633
trace_122,0,0.0025518758,0.002551875775679946
trace_123,0,0.21156931,0.21156930923461914
trace_124,0,0.0028443807,0.0028443806804716587
trace_125,0,0.004288463,0.004288462921977043
trace_126,0,0.0012953911,0.0012953911209478974
trace_127,0,0.0008621878,0.0008621878223493695
trace_128,0,0.005742711,0.005742711015045643
trace_129,1,0.9978783,0.0021216869354248047
trace_130,0,0.007832991,0.00783299095928669
trace_131,1,0.9822089,0.01779109239578247
trace_132,1,0.8617239,0.1382761001586914
trace_133,1,0.97900474,0.020995259284973145
trace_134,1,0.9965771,0.0034229159355163574
trace_135,0,0.0011182161,0.0011182160815224051
trace_136,0,0.011958275,0.011958274990320206
trace_137,1,0.8352644,0.1647356152534485
trace_138,1,0.9963857,0.0036143064498901367
trace_139,0,0.67252547,0.6725254654884338
trace_140,0,0.583067,0.583066999912262
trace_141,0,0.12160365,0.12160365283489227
trace_142,1,0.77873385,0.22126615047454834
trace_143,1,0.9901894,0.00981062650680542
trace_144,0,0.0035792205,0.003579220501706004
trace_145,1,0.9916255,0.008374512195587158
trace_146,0,0.008492692,0.00849269237369299
trace_147,1,0.8968742,0.10312581062316895
trace_148,1,0.026766388,0.973233612254262
trace_149,1,0.99789846,0.0021015405654907227
trace_150,1,0.9949964,0.005003571510314941
trace_151,1,0.9963612,0.0036388039588928223
trace_152,1,0.6842441,0.3157559037208557
trace_153,1,0.99284256,0.007157444953918457
trace_154,0,0.0023729515,0.002372951479628682
trace_155,1,0.8873191,0.11268091201782227
trace_156,1,0.97405267,0.02594733238220215
trace_157,0,0.004685248,0.004685247782617807
trace_158,1,0.8151439,0.184856116771698
trace_159,1,0.9119384,0.08806157112121582
trace_160,1,0.55105877,0.4489412307739258
trace_161,1,0.99896026,0.001039743423461914
trace_162,0,0.003832937,0.0038329369854182005
trace_163,0,0.022700094,0.022700093686580658
trace_164,0,0.0056821583,0.005682158283889294
trace_165,1,0.9896576,0.010342419147491455
trace_166,1,0.91324943,0.0867505669593811
trace_167,0,0.33481902,0.3348190188407898
trace_168,1,0.9813145,0.018685519695281982
trace_169,0,0.028177062,0.028177062049508095
trace_170,1,0.9978144,0.0021855831146240234
trace_171,1,0.98709166,0.012908339500427246
trace_172,1,0.9989434,0.0010566115379333496
trace_173,1,0.33918893,0.6608110666275024
trace_174,1,0.99672806,0.003271937370300293
trace_175,1,0.93051213,0.06948786973953247
trace_176,0,0.0063221366,0.006322136614471674
trace_177,0,0.016642136,0.016642136499285698
trace_178,1,0.9959974,0.004002571105957031
trace_179,0,0.0025279352,0.0025279351975768805
trace_180,1,0.062273845,0.937726154923439
trace_181,0,0.019661997,0.019661996513605118
trace_182,1,0.98524517,0.014754831790924072
trace_183,1,0.9978796,0.002120375633239746
trace_184,0,0.0014590966,0.0014590965583920479
trace_185,0,0.004649863,0.004649863112717867
trace_186,1,0.6456556,0.3543444275856018
trace_187,0,0.005742942,0.0057429419830441475
trace_188,1,0.9902192,0.009780824184417725
trace_189,0,0.3979462,0.39794620871543884
trace_190,0,0.012686195,0.012686194851994514
trace_191,0,0.08268082,0.08268082141876221
trace_192,1,0.99671715,0.0032828450202941895
trace_193,1,0.9308123,0.0691877007484436
trace_194,1,0.9460858,0.05391418933868408
trace_195,1,0.996825,0.003175020217895508
trace_196,1,0.99728906,0.0027109384536743164
trace_197,1,0.9674366,0.03256338834762573
trace_198,0,0.017657883,0.01765788346529007
trace_199,1,0.9885371,0.011462926864624023
trace_200,1,0.9885372,0.011462807655334473
trace_201,0,0.0046508517,0.004650851711630821
trace_202,1,0.9994548,0.000545203685760498
trace_203,0,0.11079886,0.11079885810613632
trace_204,0,0.11175703,0.11175703257322311
trace_205,1,0.83006984,0.16993016004562378
trace_206,0,0.0037783359,0.0037783358711749315
trace_207,1,0.9975478,0.0024521946907043457
trace_208,1,0.9987419,0.00125807523727417
trace_209,0,0.0011117428,0.0011117428075522184
trace_210,0,0.005131206,0.005131206009536982
trace_211,1,0.9420955,0.05790448188781738
trace_212,0,0.8025946,0.8025946021080017
trace_213,0,0.0045201937,0.004520193673670292
trace_214,1,0.9970696,0.0029304027557373047
trace_215,1,0.9622448,0.03775519132614136
trace_216,0,0.19425417,0.19425417482852936
trace_217,0,0.01009405,0.0100940503180027
trace_218,1,0.9899324,0.010067582130432129
trace_219,1,0.96133935,0.038660645484924316
trace_220,1,0.9976284,0.0023716092109680176
trace_221,1,0.997973,0.002026975154876709
trace_222,1,0.9978702,0.002129793167114258
trace_223,1,0.206399,0.793601006269455
trace_224,1,0.9992131,0.000786900520324707
trace_225,1,0.34762663,0.6523733735084534
trace_226,1,0.9658157,0.034184277057647705
trace_227,0,0.006559205,0.006559204775840044
trace_228,1,0.9652031,0.03479689359664917
trace_229,1,0.99337995,0.006620049476623535
trace_230,1,0.9973373,0.0026627182960510254
trace_231,0,0.010870832,0.01087083201855421
trace_232,1,0.39101785,0.6089821457862854
trace_233,1,0.9956049,0.004395127296447754
trace_234,1,0.9968659,0.0031340718269348145
trace_235,1,0.89918554,0.10081446170806885
trace_236,0,0.8925712,0.892571210861206
trace_237,1,0.9935823,0.006417691707611084
trace_238,1,0.93690175,0.0630982518196106
trace_239,1,0.9937714,0.006228625774383545
trace_240,0,0.020648679,0.02064867876470089
trace_241,1,0.9974208,0.002579212188720703
trace_242,1,0.64251524,0.35748475790023804
trace_243,1,0.9456933,0.05430668592453003
trace_244,1,0.99492407,0.005075931549072266
trace_245,1,0.9860314,0.013968586921691895
trace_246,1,0.99484634,0.005153656005859375
trace_247,1,0.99292505,0.007074952125549316
trace_248,0,0.007667021,0.00766702089458704
trace_249,1,0.9961319,0.00386810302734375
trace_250,0,0.04769229,0.04769229143857956
trace_251,0,0.030970927,0.030970927327871323
trace_252,1,0.994922,0.005078017711639404
trace_253,0,0.0043532127,0.004353212658315897
trace_254,1,0.9966979,0.0033020973205566406
trace_255,1,0.9956499,0.004350125789642334
trace_256,1,0.9933043,0.006695687770843506
trace_257,1,0.9956964,0.004303574562072754
trace_258,1,0.89962333,0.1003766655921936
trace_259,1,0.9792756,0.02072441577911377
trace_260,1,0.478237,0.5217629969120026
trace_261,1,0.986,0.013999998569488525
trace_262,1,0.9977482,0.0022518038749694824
trace_263,1,0.9664215,0.03357851505279541
trace_264,1,0.98043585,0.019564151763916016
trace_265,1,0.09539939,0.9046006128191948
trace_266,1,0.9856091,0.014390885829925537
trace_267,1,0.15949687,0.8405031263828278
trace_268,0,0.09817163,0.09817162901163101
trace_269,1,0.9944748,0.005525171756744385
trace_270,0,0.0024607142,0.0024607141967862844
trace_271,1,0.9964743,0.003525674343109131
trace_272,1,0.97384477,0.02615523338317871
trace_273,0,0.07556438,0.07556437700986862
trace_274,1,0.994612,0.005388021469116211
trace_275,0,0.0030030094,0.0030030093621462584
trace_276,0,0.122178175,0.12217817455530167
trace_277,1,0.98581564,0.014184355735778809
trace_278,1,0.94714034,0.05285966396331787
trace_279,1,0.98664886,0.013351142406463623
trace_280,1,0.9969602,0.0030397772789001465
trace_281,0,0.015347835,0.015347834676504135
trace_282,1,0.99653304,0.003466963768005371
trace_283,1,0.99218506,0.007814943790435791
trace_284,0,0.0012847981,0.0012847981415688992
trace_285,1,0.9936871,0.006312906742095947
trace_286,1,0.9946601,0.005339920520782471
trace_287,1,0.9518719,0.04812812805175781
trace_288,1,0.98479396,0.01520603895187378
trace_289,1,0.99392647,0.0060735344886779785
trace_290,0,0.036956463,0.036956463009119034
trace_291,0,0.055773325,0.05577332526445389
trace_292,1,0.9761163,0.023883700370788574
trace_293,1,0.99168736,0.008312642574310303
trace_294,1,0.99356645,0.006433546543121338
trace_295,1,0.058275267,0.9417247325181961
