traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-09-10T12:50:46.000000Z.MCEL.HHZ,1,0.9266292,0.07337081432342529
2010-09-10T12:50:46.000000Z.MGR.HHZ,0,0.00350352,0.003503520041704178
2010-09-10T12:50:46.000000Z.MTSN.HHZ,1,0.1699971,0.8300029039382935
2010-09-10T12:50:46.000000Z.SALB.HHZ,0,0.011784005,0.011784004978835583
2010-09-10T12:50:46.000000Z.SIRI.HHZ,1,0.00057662604,0.9994233739562333
2010-09-14T02:16:10.998000Z.CUC.HHZ,1,0.99697816,0.003021836280822754
2010-09-14T02:16:10.998000Z.MMN.HHZ,0,0.0012001283,0.0012001283466815948
2010-09-14T02:16:10.998000Z.MTSN.HHZ,1,0.88610846,0.11389154195785522
2010-09-14T02:16:10.998000Z.SALB.HHZ,1,0.99194676,0.008053243160247803
2010-09-25T18:48:53.000000Z.CUC.HHZ,1,0.991032,0.008967995643615723
2010-09-25T18:48:53.000000Z.MCEL.HHZ,0,0.99267524,0.992675244808197
2010-09-25T18:48:53.000000Z.MMN.HHZ,0,0.0014316678,0.001431667828001082
2010-09-25T18:48:53.000000Z.MTSN.HHZ,0,0.16135313,0.16135312616825104
2010-09-25T18:48:53.000000Z.ORI.HHZ,1,0.8641098,0.1358901858329773
2010-09-25T18:48:53.000000Z.SALB.HHZ,1,0.99756217,0.0024378299713134766
2010-09-25T18:48:53.000000Z.SIRI.HHZ,1,0.96238226,0.03761774301528931
2010-10-04T06:37:57.000000Z.CUC.HHZ,1,0.99898225,0.001017749309539795
2010-10-04T06:37:57.000000Z.MGR.HHZ,1,0.86865443,0.13134557008743286
2010-10-04T06:37:57.000000Z.MMN2.HHZ,0,0.003434038,0.003434038022533059
2010-10-04T06:37:57.000000Z.SALB.HHZ,1,0.9943362,0.005663812160491943
2010-10-04T06:37:57.000000Z.SCHR.EHZ,0,0.10417665,0.10417664796113968
2010-10-06T15:31:51.000000Z.BULG.HHZ,0,0.12392479,0.12392479181289673
2010-10-06T15:31:51.000000Z.CUC.HHZ,1,0.9970463,0.0029537081718444824
2010-10-06T15:31:51.000000Z.MMN2.HHZ,0,0.0017599786,0.001759978593327105
2010-10-06T15:31:51.000000Z.SALB.HHZ,1,0.9961951,0.003804922103881836
2010-10-06T17:43:09.000000Z.CUC.HHZ,1,0.9982856,0.0017144083976745605
2010-10-06T17:43:09.000000Z.MMN2.HHZ,0,0.0011009685,0.0011009684531018138
2010-10-06T17:43:09.000000Z.SALB.HHZ,1,0.9965868,0.0034132003784179688
2010-10-07T04:07:28.000000Z.CUC.HHZ,1,0.99654347,0.0034565329551696777
2010-10-07T04:07:28.000000Z.MTSN.HHZ,0,0.012118143,0.012118143029510975
2010-10-07T04:07:28.000000Z.SALB.HHZ,1,0.99371547,0.006284534931182861
2010-10-07T04:07:28.000000Z.SCHR.EHZ,0,0.5697543,0.5697543025016785
2010-10-07T04:07:28.000000Z.SIRI.HHZ,0,0.6078956,0.6078956127166748
2010-10-07T05:22:03.999999Z.CUC.HHZ,1,0.9929543,0.0070456862449646
2010-10-07T05:22:03.999999Z.MCEL.HHZ,1,0.440097,0.5599029958248138
2010-10-07T05:22:03.999999Z.MMN2.HHZ,0,0.0031278788,0.003127878764644265
2010-10-07T05:22:03.999999Z.MTSN.HHZ,1,0.9954359,0.004564106464385986
2010-10-07T05:22:03.999999Z.SALB.HHZ,1,0.99590814,0.004091858863830566
2010-10-07T05:22:03.999999Z.SIRI.HHZ,1,0.98188835,0.01811164617538452
2010-10-07T07:16:49.000000Z.CUC.HHZ,1,0.9996531,0.00034689903259277344
2010-10-07T07:16:49.000000Z.SALB.HHZ,1,0.9822098,0.01779019832611084
2010-10-07T21:26:58.999000Z.CUC.HHZ,1,0.99481106,0.005188941955566406
2010-10-07T21:26:58.999000Z.ORI.HHZ,1,0.99262685,0.007373154163360596
2010-10-07T21:26:59.000000Z.SALB.HHZ,1,0.99850273,0.0014972686767578125
2010-10-07T21:26:59.000000Z.SCHR.EHZ,0,0.49225304,0.49225303530693054
2010-10-07T21:26:59.000000Z.SLCN.HHZ,1,0.9748337,0.02516627311706543
2010-10-08T02:56:28.000000Z.CUC.HHZ,1,0.99640083,0.0035991668701171875
2010-10-08T02:56:28.000000Z.MMN2.HHZ,0,0.0016630563,0.0016630563186481595
2010-10-08T02:56:28.000000Z.ORI.HHZ,1,0.9995633,0.0004367232322692871
2010-10-08T02:56:28.000000Z.SALB.HHZ,1,0.99876404,0.0012359619140625
2010-10-08T02:56:28.000000Z.SIRI.HHZ,1,0.9697543,0.030245721340179443
2010-10-08T07:17:10.999000Z.CUC.HHZ,1,0.9952369,0.004763126373291016
2010-10-08T07:17:11.000000Z.SALB.HHZ,1,0.9927055,0.00729447603225708
2010-10-08T07:17:11.000000Z.SIRI.HHZ,1,0.98507786,0.014922142028808594
2010-10-08T07:53:15.000000Z.CUC.HHZ,1,0.998145,0.001855015754699707
2010-10-08T07:53:15.000000Z.MTSN.HHZ,1,0.9987437,0.0012562870979309082
2010-10-08T13:28:21.000000Z.CUC.HHZ,1,0.9951894,0.0048105716705322266
2010-10-08T13:28:21.000000Z.MMN.HHZ,1,0.99803275,0.0019672513008117676
2010-10-08T13:28:21.000000Z.MMN2.HHZ,0,0.0015166707,0.0015166706871241331
