traccia,y_a_Mano,y_predict,delta
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,0.9999999,1.1920928955078125e-07
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,2.8260315e-06,2.8260315048100892e-06
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,0.0033749584,0.003374958410859108
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,2.6868158e-05,2.6868157874559984e-05
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,3.940285e-05,3.940285023418255e-05
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,1.9069885e-05,1.906988472910598e-05
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,0.0004244405,0.00042444051359780133
2010-04-09T14:39:44.000000Z.MMN.HHZ,0,7.597277e-06,7.597277090098942e-06
2010-04-09T14:39:45.000000Z.BULG.HHZ,1,0.9984434,0.0015565752983093262
2010-04-09T14:39:45.000000Z.CMPR.HHZ,1,0.9998684,0.0001316070556640625
2010-04-09T14:39:45.000000Z.CUC.HHZ,0,7.5013344e-07,7.501334380322078e-07
2010-04-09T14:39:45.000000Z.MCEL.HHZ,0,0.00015041242,0.00015041242295410484
2010-04-09T14:39:45.000000Z.MGR.HHZ,0,0.0060912394,0.006091239396482706
2010-04-09T14:39:45.000000Z.MTSN.HHZ,0,0.00087145116,0.0008714511641301215
2010-04-09T14:39:45.000000Z.SALB.HHZ,1,0.9999864,1.3589859008789062e-05
2010-05-21T10:29:02.000000Z.BULG.HHZ,0,0.00094432756,0.0009443275630474091
2010-05-21T10:29:02.000000Z.CMPR.HHZ,1,0.99998987,1.0132789611816406e-05
2010-05-21T10:29:02.000000Z.CUC.HHZ,0,7.3377545e-05,7.33775450498797e-05
2010-05-21T10:29:02.000000Z.MCEL.HHZ,1,0.99998677,1.3232231140136719e-05
2010-05-21T10:29:02.000000Z.MMN.HHZ,0,0.0010134093,0.0010134093463420868
2010-05-21T10:29:02.000000Z.MTSN.HHZ,0,0.0005531073,0.0005531072965823114
