loss_train,loss_val,acc_train,acc_val
0.20108579099178314,0.04897836595773697,0.9246933460235596,0.9878907203674316
0.06954184919595718,0.03637207671999931,0.980604350566864,0.9915131330490112
0.056052710860967636,0.0339522548019886,0.9853038787841797,0.9904781579971313
0.05167107656598091,0.03306688368320465,0.9865477681159973,0.9920306205749512
0.04902323707938194,0.03403398022055626,0.9871905446052551,0.9918236136436462
0.04730801284313202,0.03296305984258652,0.9876139760017395,0.9919271469116211
0.0459321103990078,0.035283807665109634,0.9880034327507019,0.9914096593856812
0.04491087794303894,0.03285757824778557,0.98816978931427,0.9915131330490112
0.04384860768914223,0.03344441205263138,0.9885591864585876,0.9919271469116211
0.042940571904182434,0.033836863934993744,0.9888163208961487,0.9918236136436462
0.042035993188619614,0.033321406692266464,0.9891830086708069,0.992444634437561
