traccia_val,y_Mano_pol,y_pol_predict,delta_val
2010-09-10T12:50:46.000000Z.MCEL.HHZ,1,0.9746099,0.02539008855819702
2010-09-10T12:50:46.000000Z.MGR.HHZ,0,0.0043388456,0.004338845610618591
2010-09-10T12:50:46.000000Z.MTSN.HHZ,1,0.5166017,0.48339831829071045
2010-09-10T12:50:46.000000Z.SALB.HHZ,0,0.007945932,0.007945932447910309
2010-09-10T12:50:46.000000Z.SIRI.HHZ,1,0.0060318755,0.9939681245014071
2010-09-14T02:16:10.998000Z.CUC.HHZ,1,0.99719304,0.0028069615364074707
2010-09-14T02:16:10.998000Z.MMN.HHZ,0,0.0042935642,0.0042935642413794994
2010-09-14T02:16:10.998000Z.MTSN.HHZ,1,0.9828256,0.01717442274093628
2010-09-14T02:16:10.998000Z.SALB.HHZ,1,0.99571335,0.004286646842956543
2010-09-25T18:48:53.000000Z.CUC.HHZ,1,0.9884774,0.01152259111404419
2010-09-25T18:48:53.000000Z.MCEL.HHZ,0,0.9904703,0.990470290184021
2010-09-25T18:48:53.000000Z.MMN.HHZ,0,0.0043544215,0.004354421515017748
2010-09-25T18:48:53.000000Z.MTSN.HHZ,0,0.02689255,0.02689255028963089
2010-09-25T18:48:53.000000Z.ORI.HHZ,1,0.9658847,0.03411531448364258
2010-09-25T18:48:53.000000Z.SALB.HHZ,1,0.9940229,0.0059770941734313965
2010-09-25T18:48:53.000000Z.SIRI.HHZ,1,0.9750412,0.024958789348602295
2010-10-04T06:37:57.000000Z.CUC.HHZ,1,0.99550337,0.004496634006500244
2010-10-04T06:37:57.000000Z.MGR.HHZ,1,0.929484,0.07051599025726318
2010-10-04T06:37:57.000000Z.MMN2.HHZ,0,0.0057071517,0.005707151722162962
2010-10-04T06:37:57.000000Z.SALB.HHZ,1,0.9881004,0.011899590492248535
2010-10-04T06:37:57.000000Z.SCHR.EHZ,0,0.028537843,0.028537843376398087
2010-10-06T15:31:51.000000Z.BULG.HHZ,0,0.011884281,0.011884281411767006
2010-10-06T15:31:51.000000Z.CUC.HHZ,1,0.9956318,0.004368185997009277
2010-10-06T15:31:51.000000Z.MMN2.HHZ,0,0.004047895,0.004047894850373268
2010-10-06T15:31:51.000000Z.SALB.HHZ,1,0.9930728,0.006927192211151123
2010-10-06T17:43:09.000000Z.CUC.HHZ,1,0.9967237,0.0032762885093688965
2010-10-06T17:43:09.000000Z.MMN2.HHZ,0,0.0048320945,0.00483209453523159
