loss_train,loss_val,acc_train,acc_val
0.4059130847454071,0.1614062786102295,0.8102337121963501,0.9521624445915222
0.19553525745868683,0.10879693180322647,0.9273871183395386,0.9695401787757874
0.16159816086292267,0.08806078135967255,0.9430627226829529,0.9757883548736572
0.13875314593315125,0.0749840959906578,0.9530329704284668,0.9793029427528381
0.12404686957597733,0.06765738874673843,0.9591010808944702,0.9814507365226746
0.11355768144130707,0.06282489746809006,0.9633378386497498,0.9823293685913086
0.1065625473856926,0.06707786023616791,0.9664159417152405,0.979986310005188
0.10145068168640137,0.06250222772359848,0.9683740735054016,0.981938898563385
0.09753885120153427,0.061899296939373016,0.9700433611869812,0.9818412661552429
0.09496467560529709,0.06273538619279861,0.9709485173225403,0.9811578392982483
0.09282519668340683,0.059785231947898865,0.9717761278152466,0.9822317957878113
0.0912884771823883,0.059751302003860474,0.9723361134529114,0.9814507365226746
0.08981091529130936,0.05942725017666817,0.9729841351509094,0.9821341633796692
0.0882745236158371,0.06076822429895401,0.9734384417533875,0.9814507365226746
0.08723790943622589,0.06038393825292587,0.9741427898406982,0.9816460013389587
0.08613717555999756,0.06060187518596649,0.9741920828819275,0.9822317957878113
0.08521794527769089,0.06030290201306343,0.9746288061141968,0.9814507365226746
0.0841018557548523,0.056582629680633545,0.9749000072479248,0.9833056926727295
0.08366605639457703,0.057179711759090424,0.9751394391059875,0.982817530632019
0.08301210403442383,0.05777658894658089,0.9754423499107361,0.982719898223877
0.08264104276895523,0.05615886673331261,0.9755128026008606,0.9831104278564453
0.0821474939584732,0.05587757006287575,0.9757980704307556,0.983598530292511
0.08147755265235901,0.05866523087024689,0.9758966565132141,0.9825246334075928
0.08138078451156616,0.05752591788768768,0.9759424328804016,0.9831104278564453
0.08037581294775009,0.058919161558151245,0.9762206673622131,0.9834033250808716
0.07999534159898758,0.05975308269262314,0.9765692949295044,0.9820365309715271
0.07964424788951874,0.06144590675830841,0.9766362309455872,0.981938898563385
0.07936546206474304,0.06008028984069824,0.9766784906387329,0.9820365309715271
0.07899957150220871,0.057033900171518326,0.9767348766326904,0.9831104278564453
0.07846763730049133,0.06043547764420509,0.9768545627593994,0.9820365309715271
0.0782734602689743,0.05679294839501381,0.9770482778549194,0.9838914275169373
0.0778883844614029,0.05643951892852783,0.9773582220077515,0.9841843247413635
