traccia,y_a_Mano,y_predict,delta
2010-10-08T14:03:59.000000Z.SCHR.EHZ,0,0.032367297,0.032367296516895294
2010-10-08T14:03:59.000000Z.SIRI.HHZ,1,0.0050013233,0.9949986767023802
2010-10-20T05:12:36.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-20T05:12:36.000000Z.MMN.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.MMN.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.MTSN.HHZ,1,2.142604e-05,0.9999785739601066
2010-10-24T11:09:49.000000Z.SALB.HHZ,1,0.99999976,2.384185791015625e-07
2010-10-24T20:57:06.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-24T20:57:06.000000Z.MMN.HHZ,0,8.1968064e-11,8.196806428051318e-11
2010-10-24T20:57:06.000000Z.SALB.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.CUC.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.MCEL.HHZ,1,0.99999976,2.384185791015625e-07
2010-11-09T08:43:01.000001Z.MTSN.HHZ,1,0.99999976,2.384185791015625e-07
2010-11-09T08:43:01.000001Z.SALB.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.SCHR.EHZ,1,0.99991345,8.654594421386719e-05
2010-11-09T08:43:01.000001Z.SIRI.HHZ,1,0.99999785,2.1457672119140625e-06
2010-11-09T08:43:01.000001Z.SLCN.HHZ,1,0.99997985,2.014636993408203e-05
2010-12-14T13:01:20.000000Z.CUC.HHZ,1,1.0,0.0
2010-12-14T13:01:20.000000Z.SCHR.EHZ,1,1.0,0.0
2010-12-14T13:01:20.000000Z.SIRI.HHZ,1,0.99999535,4.649162292480469e-06
2010-12-26T21:47:57.000000Z.MTSN.HHZ,0,5.3350664e-06,5.335066362022189e-06
2010-12-26T21:47:57.000000Z.SALB.HHZ,1,0.999777,0.00022298097610473633
2011-01-02T00:22:41.000000Z.MCEL.HHZ,1,0.99998605,1.3947486877441406e-05
2011-01-02T00:22:41.000000Z.MMN.HHZ,0,3.3207231e-10,3.320723140909365e-10
2011-01-02T00:22:41.000000Z.MTSN.HHZ,0,1.0,1.0
2011-01-02T00:22:41.000000Z.ORI.HHZ,1,0.99999964,3.5762786865234375e-07
