loss_train,loss_val,acc_train,acc_val
0.19749106466770172,0.04996331408619881,0.9270526170730591,0.9875802397727966
0.06790471822023392,0.03719542548060417,0.9812168478965759,0.9909956455230713
0.05488681048154831,0.03628060966730118,0.9857425093650818,0.9909956455230713
0.05042115971446037,0.036288969218730927,0.9868502616882324,0.9906851649284363
0.04824703931808472,0.03239859268069267,0.9873530864715576,0.9918236136436462
0.04663340374827385,0.033009711652994156,0.9877917170524597,0.9915131330490112
0.045682184398174286,0.03134731948375702,0.9879655838012695,0.9918236136436462
0.044448357075452805,0.034367434680461884,0.988400399684906,0.9909956455230713
0.04358828067779541,0.0373758003115654,0.9886839389801025,0.9906851649284363
0.04272834584116936,0.034732189029455185,0.988903284072876,0.9913061261177063
