traccia,y_Mano,y_predict,delta
trace_0,0,0.0023913851,0.0023913851473480463
trace_1,1,0.00082591403,0.999174085969571
trace_2,0,0.008120222,0.008120222017168999
trace_3,1,0.9710043,0.02899569272994995
trace_4,1,0.99796945,0.0020305514335632324
trace_5,0,0.052301504,0.05230150371789932
trace_6,1,0.99323505,0.00676494836807251
trace_7,0,0.002691869,0.0026918689254671335
trace_8,1,0.9988669,0.0011330842971801758
trace_9,0,0.0011295866,0.0011295865988358855
trace_10,1,0.043244857,0.9567551426589489
trace_11,1,0.99791354,0.002086460590362549
trace_12,0,0.08345094,0.08345094323158264
trace_13,0,0.03651276,0.03651275858283043
trace_14,1,0.9019779,0.09802210330963135
trace_15,0,0.0034167352,0.003416735213249922
trace_16,0,0.26098964,0.26098963618278503
trace_17,1,0.9846198,0.01538020372390747
trace_18,1,0.9941016,0.005898416042327881
trace_19,1,0.85693747,0.1430625319480896
trace_20,0,0.0010966716,0.0010966715635731816
trace_21,1,0.98413473,0.0158652663230896
trace_22,1,0.6819029,0.3180971145629883
trace_23,1,0.99564373,0.004356265068054199
trace_24,1,0.99818784,0.0018121600151062012
trace_25,0,0.672613,0.6726130247116089
trace_26,0,0.015579669,0.015579668805003166
trace_27,0,0.0016922575,0.0016922574723139405
trace_28,1,0.98942965,0.010570347309112549
trace_29,0,0.03655854,0.03655853867530823
trace_30,0,0.062245708,0.06224570795893669
trace_31,1,0.9951534,0.0048465728759765625
trace_32,0,0.0055236463,0.005523646250367165
trace_33,1,0.96740806,0.032591938972473145
trace_34,0,0.0026370639,0.0026370638515800238
trace_35,1,0.99703985,0.0029601454734802246
trace_36,0,0.07607383,0.07607383280992508
trace_37,0,0.09168258,0.09168258309364319
trace_38,0,0.19193001,0.19193001091480255
trace_39,1,0.01167628,0.9883237201720476
trace_40,1,0.9971938,0.0028061866760253906
trace_41,0,0.00888584,0.008885839954018593
trace_42,1,0.9767641,0.02323591709136963
trace_43,1,0.99559575,0.004404246807098389
trace_44,1,0.4055296,0.5944704115390778
trace_45,1,0.003256114,0.9967438860330731
trace_46,1,0.9911006,0.008899390697479248
trace_47,1,0.9968791,0.003120899200439453
trace_48,1,0.97603685,0.02396315336227417
trace_49,1,0.9785367,0.02146327495574951
trace_50,1,0.96587056,0.034129440784454346
trace_51,0,0.010549867,0.01054986659437418
trace_52,0,0.006316262,0.0063162618316709995
trace_53,0,0.0023489692,0.0023489692248404026
trace_54,0,0.021463828,0.021463828161358833
trace_55,1,0.991825,0.008175015449523926
trace_56,1,0.997905,0.0020949840545654297
trace_57,1,0.96529907,0.03470093011856079
trace_58,1,0.99122685,0.00877314805984497
trace_59,1,0.9951373,0.004862725734710693
trace_60,1,0.9970919,0.0029081106185913086
trace_61,1,0.999283,0.0007169842720031738
trace_62,1,0.99829465,0.0017053484916687012
trace_63,1,0.9931664,0.00683361291885376
trace_64,1,0.33581808,0.6641819179058075
trace_65,0,0.0065605096,0.00656050955876708
trace_66,0,0.0017188633,0.0017188632627949119
trace_67,1,0.99103993,0.008960068225860596
trace_68,1,0.96289086,0.0371091365814209
trace_69,1,0.909264,0.09073597192764282
trace_70,1,0.77221894,0.22778105735778809
trace_71,0,0.0040721544,0.004072154406458139
trace_72,1,0.61375964,0.3862403631210327
trace_73,1,0.20671384,0.7932861596345901
trace_74,1,0.9971433,0.0028566718101501465
trace_75,1,0.9847846,0.015215396881103516
trace_76,0,0.005905756,0.0059057557955384254
trace_77,0,0.005185512,0.0051855118945240974
trace_78,1,0.021420877,0.9785791225731373
trace_79,0,0.08755769,0.08755768835544586
trace_80,1,0.9679958,0.03200417757034302
trace_81,1,0.9977442,0.0022557973861694336
trace_82,0,0.008179275,0.008179275318980217
trace_83,1,0.9987067,0.0012933015823364258
trace_84,0,0.023081677,0.02308167703449726
trace_85,1,0.9252948,0.07470518350601196
trace_86,1,0.99392456,0.006075441837310791
trace_87,1,0.9974833,0.0025166869163513184
trace_88,1,0.98260546,0.017394542694091797
trace_89,1,0.9922402,0.007759809494018555
trace_90,1,0.9788562,0.021143794059753418
trace_91,1,0.5209466,0.4790533781051636
trace_92,1,0.98515123,0.014848768711090088
trace_93,0,0.906259,0.9062590003013611
trace_94,1,0.99820065,0.0017993450164794922
trace_95,0,0.10087306,0.10087306052446365
