traccia,y_a_Mano,y_predict,delta
2010-10-08T13:28:21.000000Z.MMN2.HHZ,0,0.00061874796,0.0006187479593791068
2010-10-08T13:28:21.000000Z.SALB.HHZ,1,0.99892056,0.0010794401168823242
2010-10-08T13:28:21.000000Z.SCHR.EHZ,0,0.0017235555,0.0017235554987564683
2010-10-08T14:03:59.000000Z.BULG.HHZ,1,0.9970739,0.0029261112213134766
2010-10-08T14:03:59.000000Z.CUC.HHZ,1,0.99770457,0.0022954344749450684
2010-10-08T14:03:59.000000Z.MCEL.HHZ,1,0.99684143,0.0031585693359375
2010-10-08T14:03:59.000000Z.MMN.HHZ,1,0.983676,0.016323983669281006
2010-10-08T14:03:59.000000Z.SALB.HHZ,1,0.96310943,0.03689056634902954
2010-10-08T14:03:59.000000Z.SCHR.EHZ,0,0.33141315,0.3314131498336792
2010-10-08T14:03:59.000000Z.SIRI.HHZ,1,0.4042623,0.5957376956939697
2010-10-20T05:12:36.000000Z.CUC.HHZ,1,0.998923,0.0010769963264465332
2010-10-20T05:12:36.000000Z.MMN.HHZ,1,0.998923,0.0010769963264465332
2010-10-24T11:09:49.000000Z.CUC.HHZ,1,0.9989225,0.0010774731636047363
2010-10-24T11:09:49.000000Z.MMN.HHZ,1,0.9995247,0.00047528743743896484
2010-10-24T11:09:49.000000Z.MTSN.HHZ,1,0.026761107,0.97323889285326
2010-10-24T11:09:49.000000Z.SALB.HHZ,1,0.9989213,0.0010787248611450195
2010-10-24T20:57:06.000000Z.CUC.HHZ,1,0.9989201,0.0010799169540405273
2010-10-24T20:57:06.000000Z.MMN.HHZ,0,0.00037918915,0.00037918915040791035
2010-10-24T20:57:06.000000Z.SALB.HHZ,1,0.9979221,0.0020778775215148926
2010-11-09T08:43:01.000001Z.CUC.HHZ,1,0.9995247,0.00047528743743896484
2010-11-09T08:43:01.000001Z.MCEL.HHZ,1,0.99814117,0.001858830451965332
2010-11-09T08:43:01.000001Z.MTSN.HHZ,1,0.9978993,0.002100706100463867
2010-11-09T08:43:01.000001Z.SALB.HHZ,1,0.9979602,0.002039790153503418
2010-11-09T08:43:01.000001Z.SCHR.EHZ,1,0.9995246,0.0004754066467285156
2010-11-09T08:43:01.000001Z.SIRI.HHZ,1,0.9989231,0.0010768771171569824
2010-11-09T08:43:01.000001Z.SLCN.HHZ,1,0.9987054,0.0012946128845214844
2010-12-14T13:01:20.000000Z.CUC.HHZ,1,0.99892277,0.0010772347450256348
2010-12-14T13:01:20.000000Z.SCHR.EHZ,1,0.9963714,0.0036286115646362305
2010-12-14T13:01:20.000000Z.SIRI.HHZ,1,0.9701257,0.029874324798583984
2010-12-26T21:47:57.000000Z.MTSN.HHZ,0,0.0226307,0.02263070084154606
2010-12-26T21:47:57.000000Z.SALB.HHZ,1,0.9981213,0.0018786787986755371
2011-01-02T00:22:41.000000Z.MCEL.HHZ,1,0.9835383,0.016461670398712158
2011-01-02T00:22:41.000000Z.MMN.HHZ,0,0.0003791445,0.0003791445051319897
2011-01-02T00:22:41.000000Z.MTSN.HHZ,0,0.99651104,0.9965110421180725
2011-01-02T00:22:41.000000Z.ORI.HHZ,1,0.99778605,0.0022139549255371094
2011-01-02T00:22:41.000000Z.SALB.HHZ,1,0.99882835,0.0011716485023498535
2011-01-11T02:44:57.999000Z.CUC.HHZ,1,0.9995247,0.00047528743743896484
2011-01-11T02:44:57.999000Z.CEL.HHZ,1,0.46975502,0.5302449762821198
2011-01-11T02:44:57.999000Z.MMN.HHZ,0,0.12264873,0.12264873087406158
2011-01-11T02:44:58.000000Z.SALB.HHZ,1,0.9970385,0.0029615163803100586
2011-01-11T02:44:58.000000Z.SIRI.HHZ,1,0.9970726,0.002927422523498535
2011-01-13T10:36:21.000000Z.CUC.HHZ,1,0.99952435,0.0004756450653076172
2011-01-13T10:36:21.000000Z.CEL.HHZ,0,0.0022088785,0.002208878519013524
2011-01-13T10:36:21.000000Z.MMN.HHZ,0,0.017191542,0.01719154231250286
2011-01-13T10:36:21.000000Z.SALB.HHZ,1,0.9989215,0.001078486442565918
2011-02-10T06:48:46.000000Z.CUC.HHZ,1,0.99770504,0.0022949576377868652
2011-02-10T06:48:46.000000Z.MMN.HHZ,0,0.00061858725,0.0006185872480273247
2011-02-10T06:48:46.000000Z.SCHR.EHZ,0,0.00944065,0.00944065023213625
2011-02-10T06:48:46.000000Z.SIRI.HHZ,1,0.99687,0.003130018711090088
2011-02-17T07:53:09.000000Z.MMN.HHZ,1,0.9952873,0.004712700843811035
2011-02-17T07:53:09.000000Z.SALB.HHZ,1,0.99870574,0.001294255256652832
2011-02-17T07:53:09.000000Z.SCHR.EHZ,0,0.00037955277,0.0003795527736656368
2011-02-23T22:26:19.000000Z.CUC.HHZ,0,0.0003793059,0.0003793058858718723
2011-02-23T22:26:19.000000Z.SALB.HHZ,1,0.6996553,0.30034470558166504
2011-03-29T11:33:25.000000Z.CUC.HHZ,1,0.99707496,0.0029250383377075195
2011-03-29T11:33:25.000000Z.MMN.HHZ,0,0.0006191461,0.0006191460997797549
2011-03-29T11:33:25.000000Z.MTSN.HHZ,1,0.99607146,0.003928542137145996
2011-03-29T11:33:25.000000Z.SALB.HHZ,1,0.98941374,0.010586261749267578
2011-04-02T16:25:29.000000Z.CUC.HHZ,1,0.99892235,0.0010776519775390625
2011-04-02T16:25:29.000000Z.MMN.HHZ,0,0.0027306564,0.0027306564152240753
2011-04-02T16:25:29.000000Z.MTSN.HHZ,0,0.29948384,0.2994838356971741
2011-04-04T11:38:59.000000Z.CUC.HHZ,1,0.9982887,0.0017113089561462402
2011-04-04T11:38:59.000000Z.MMN.HHZ,1,0.998923,0.0010769963264465332
2011-04-27T00:57:16.998000Z.CUC.HHZ,1,0.9980909,0.0019090771675109863
2011-04-27T00:57:17.000000Z.SALB.HHZ,1,0.991442,0.00855797529220581
2011-04-27T00:57:17.000000Z.SIRI.HHZ,1,0.99603975,0.003960251808166504
2011-10-14T11:44:11.000000Z.CUC.HHZ,1,0.99892116,0.0010788440704345703
2011-10-14T11:44:11.000000Z.MMN.HHZ,0,0.0019201979,0.001920197857543826
2011-10-14T11:44:11.000000Z.MTSN.HHZ,1,0.88047737,0.11952263116836548
2011-10-14T11:44:11.000000Z.SALB.HHZ,1,0.9970674,0.002932608127593994
2011-10-14T11:44:11.000000Z.SLCN.HHZ,1,0.99539304,0.004606962203979492
2011-10-15T01:38:52.998000Z.CUC.HHZ,1,0.9989229,0.001077115535736084
2011-10-15T01:38:52.998000Z.MMN.HHZ,0,0.0007711139,0.0007711139041930437
2011-10-15T01:38:53.000000Z.SALB.HHZ,1,0.99683666,0.0031633377075195312
2011-10-15T20:32:30.000000Z.CUC.HHZ,1,0.9995245,0.0004755258560180664
2011-10-15T20:32:30.000000Z.MMN.HHZ,0,0.0012031845,0.0012031844817101955
2011-10-15T20:32:30.000000Z.MTSN.HHZ,1,0.9979189,0.0020810961723327637
2011-10-15T20:32:30.000000Z.SALB.HHZ,1,0.8060938,0.19390618801116943
2011-10-19T20:31:26.998000Z.CUC.HHZ,1,0.99892247,0.0010775327682495117
