traccia,y_a_Mano,y_predict,delta
2010-01-30T01:23:45.000000Z.CRAC.EHZ,1,1.0,0.0
2010-01-30T01:23:45.000000Z.CUC.HHZ,0,1.873626e-09,1.8736259210783146e-09
2010-01-30T01:23:45.000000Z.MGR.HHZ,0,4.15963e-05,4.1596300434321165e-05
2010-01-30T01:23:45.000000Z.ORI.HHZ,0,0.004952557,0.004952556919306517
2010-01-30T01:23:45.000000Z.SALB.HHZ,0,4.2522e-09,4.252199925502964e-09
2010-01-30T01:23:45.000000Z.SCHR.EHZ,0,2.8524369e-08,2.8524368644866627e-08
2010-01-30T01:23:45.000000Z.SIRI.HHZ,0,2.1464798e-07,2.146479829434611e-07
2010-04-09T14:39:44.000000Z.MMN.HHZ,0,1.6835389e-09,1.6835388638725135e-09
2010-04-09T14:39:45.000000Z.BULG.HHZ,1,0.99996924,3.075599670410156e-05
2010-04-09T14:39:45.000000Z.CMPR.HHZ,1,0.9999999,1.1920928955078125e-07
2010-04-09T14:39:45.000000Z.CUC.HHZ,0,0.00019868597,0.00019868597155436873
2010-04-09T14:39:45.000000Z.MCEL.HHZ,0,6.524551e-05,6.524551281472668e-05
2010-04-09T14:39:45.000000Z.MGR.HHZ,0,1.1174948e-08,1.1174948078007674e-08
2010-04-09T14:39:45.000000Z.MTSN.HHZ,0,3.9889852e-05,3.988985190517269e-05
2010-04-09T14:39:45.000000Z.SALB.HHZ,1,1.0,0.0
2010-05-21T10:29:02.000000Z.BULG.HHZ,0,1.6781704e-06,1.6781704061941127e-06
2010-05-21T10:29:02.000000Z.CMPR.HHZ,1,0.9999999,1.1920928955078125e-07
2010-05-21T10:29:02.000000Z.CUC.HHZ,0,1.6564385e-10,1.6564384586192915e-10
2010-05-21T10:29:02.000000Z.MCEL.HHZ,1,1.0,0.0
2010-05-21T10:29:02.000000Z.MMN.HHZ,0,4.48615e-09,4.486150118054866e-09
2010-05-21T10:29:02.000000Z.MTSN.HHZ,0,0.0006017467,0.0006017467239871621
2010-05-21T10:29:02.000000Z.SALB.HHZ,1,1.0,0.0
2010-05-21T10:29:02.000000Z.SIRI.HHZ,1,0.70255256,0.29744744300842285
2010-08-09T05:55:32.000000Z.MMN.HHZ,1,0.9994479,0.0005521178245544434
2010-08-09T05:55:32.000000Z.SALB.HHZ,1,0.9999999,1.1920928955078125e-07
2010-09-10T12:50:45.000000Z.MMN.HHZ,1,1.0,0.0
2010-09-10T12:50:46.000000Z.CUC.HHZ,1,1.0,0.0
2010-09-10T12:50:46.000000Z.MCEL.HHZ,1,0.9999461,5.3882598876953125e-05
2010-09-10T12:50:46.000000Z.MGR.HHZ,0,0.0048318445,0.004831844475120306
2010-09-10T12:50:46.000000Z.MTSN.HHZ,1,0.70611286,0.2938871383666992
2010-09-10T12:50:46.000000Z.SALB.HHZ,0,1.331026e-06,1.33102605559543e-06
2010-09-10T12:50:46.000000Z.SIRI.HHZ,1,3.31247e-06,0.9999966875300288
2010-09-25T18:48:53.000000Z.CUC.HHZ,1,1.0,0.0
2010-09-25T18:48:53.000000Z.MCEL.HHZ,0,1.0,1.0
2010-09-25T18:48:53.000000Z.MMN.HHZ,0,1.5452624e-08,1.5452624069212106e-08
2010-09-25T18:48:53.000000Z.MTSN.HHZ,0,3.7415282e-07,3.7415281894936925e-07
2010-09-25T18:48:53.000000Z.ORI.HHZ,1,1.0,0.0
2010-09-25T18:48:53.000000Z.SALB.HHZ,1,0.9999968,3.2186508178710938e-06
2010-09-25T18:48:53.000000Z.SIRI.HHZ,1,0.9999815,1.8477439880371094e-05
2010-10-06T17:43:09.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-06T17:43:09.000000Z.MMN2.HHZ,0,1.0622459e-10,1.0622459162279441e-10
2010-10-06T17:43:09.000000Z.SALB.HHZ,1,0.999992,7.987022399902344e-06
2010-10-07T04:07:28.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-07T04:07:28.000000Z.MTSN.HHZ,0,7.666988e-07,7.666988040000433e-07
2010-10-07T04:07:28.000000Z.SALB.HHZ,1,1.0,0.0
2010-10-07T04:07:28.000000Z.SCHR.EHZ,0,0.5268454,0.526845395565033
2010-10-07T04:07:28.000000Z.SIRI.HHZ,0,0.42140794,0.42140793800354004
2010-10-07T07:16:49.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-07T07:16:49.000000Z.SALB.HHZ,1,0.9999565,4.3511390686035156e-05
2010-10-07T21:26:58.999000Z.CUC.HHZ,1,0.9999999,1.1920928955078125e-07
2010-10-07T21:26:58.999000Z.ORI.HHZ,1,0.99999976,2.384185791015625e-07
2010-10-07T21:26:59.000000Z.SALB.HHZ,1,0.9999995,4.76837158203125e-07
2010-10-07T21:26:59.000000Z.SCHR.EHZ,0,4.489251e-07,4.48925106866227e-07
2010-10-07T21:26:59.000000Z.SLCN.HHZ,1,0.9999951,4.887580871582031e-06
2010-10-08T07:17:10.999000Z.CUC.HHZ,1,0.9999964,3.5762786865234375e-06
2010-10-08T07:17:11.000000Z.SALB.HHZ,1,0.9999982,1.7881393432617188e-06
2010-10-08T07:17:11.000000Z.SIRI.HHZ,1,1.0,0.0
2010-10-08T07:53:15.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-08T07:53:15.000000Z.MTSN.HHZ,1,1.0,0.0
2010-10-08T13:28:21.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-08T13:28:21.000000Z.MMN.HHZ,1,0.99999726,2.7418136596679688e-06
2010-10-08T13:28:21.000000Z.MMN2.HHZ,0,6.0117425e-11,6.011742492706418e-11
2010-10-08T13:28:21.000000Z.SALB.HHZ,1,1.0,0.0
2010-10-08T13:28:21.000000Z.SCHR.EHZ,0,8.46577e-06,8.465770406473894e-06
2010-10-08T14:03:59.000000Z.BULG.HHZ,1,1.0,0.0
2010-10-08T14:03:59.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-08T14:03:59.000000Z.MCEL.HHZ,1,0.99999475,5.245208740234375e-06
2010-10-08T14:03:59.000000Z.MMN.HHZ,1,0.999972,2.8014183044433594e-05
2010-10-08T14:03:59.000000Z.SALB.HHZ,1,0.9999988,1.1920928955078125e-06
2010-10-08T14:03:59.000000Z.SCHR.EHZ,0,0.003229975,0.003229975001886487
2010-10-08T14:03:59.000000Z.SIRI.HHZ,1,0.6219018,0.37809818983078003
2010-10-20T05:12:36.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-20T05:12:36.000000Z.MMN.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.CUC.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.MMN.HHZ,1,1.0,0.0
2010-10-24T11:09:49.000000Z.MTSN.HHZ,1,1.4111828e-07,0.999999858881722
2010-10-24T11:09:49.000000Z.SALB.HHZ,1,0.9999999,1.1920928955078125e-07
2010-10-24T20:57:06.000000Z.CUC.HHZ,1,0.99998784,1.2159347534179688e-05
2010-10-24T20:57:06.000000Z.MMN.HHZ,0,2.3059781e-06,2.3059781142364955e-06
2010-10-24T20:57:06.000000Z.SALB.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.CUC.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.MCEL.HHZ,1,0.9999893,1.0728836059570312e-05
2010-11-09T08:43:01.000001Z.MTSN.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.SALB.HHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.SCHR.EHZ,1,1.0,0.0
2010-11-09T08:43:01.000001Z.SIRI.HHZ,1,1.0,0.0
