loss_train,loss_val,acc_train,acc_val
0.33793094754219055,0.11282355338335037,0.8765785098075867,0.9667770862579346
0.14173343777656555,0.088200144469738,0.9525278806686401,0.9755744338035583
0.12276510894298553,0.07008512318134308,0.9602218866348267,0.9816808104515076
0.11292731016874313,0.06599290668964386,0.9640140533447266,0.9838542938232422
0.1059802770614624,0.06477832049131393,0.9667929410934448,0.9831297993659973
0.10007436573505402,0.05589501932263374,0.9690727591514587,0.986545205116272
0.09464124590158463,0.05191611871123314,0.971099317073822,0.9875802397727966
0.08951334655284882,0.05058971047401428,0.9728687405586243,0.9880977272987366
0.08460264652967453,0.04756636545062065,0.9747024774551392,0.9886152148246765
0.08004390448331833,0.04391874372959137,0.9763357639312744,0.9890291690826416
0.0762333795428276,0.04552554711699486,0.9777724742889404,0.9893397092819214
0.07291804254055023,0.044499471783638,0.9790655374526978,0.9890291690826416
0.07012619078159332,0.04040691256523132,0.9798973202705383,0.9901676774024963
0.06774879992008209,0.03982764109969139,0.9807857871055603,0.9899606704711914
0.06574542075395584,0.03962966427206993,0.9814701676368713,0.9902711510658264
0.06378433108329773,0.03798403963446617,0.982211172580719,0.9904781579971313
0.062052953988313675,0.03588862344622612,0.9827253818511963,0.9906851649284363
0.06056514009833336,0.038292597979307175,0.983281135559082,0.9907886385917664
0.05923646315932274,0.03428059443831444,0.9837272763252258,0.9908921718597412
0.058122072368860245,0.0351392962038517,0.9841129183769226,0.9916166663169861
0.057088371366262436,0.03443428501486778,0.9843738079071045,0.9914096593856812
0.05610896646976471,0.036008987575769424,0.9847556948661804,0.9912026524543762
