traccia,y_Mano,y_predict,delta
trace_0,0,0.005083713,0.005083713214844465
trace_1,1,0.07932844,0.9206715598702431
trace_2,0,0.005446606,0.00544660585001111
trace_3,1,0.9884276,0.011572420597076416
trace_4,1,0.9969036,0.0030964016914367676
trace_5,0,0.008759222,0.008759221993386745
trace_6,1,0.9985876,0.0014123916625976562
trace_7,0,0.4699396,0.46993958950042725
trace_8,1,0.9986412,0.00135880708694458
trace_9,0,0.0017410027,0.001741002663038671
trace_10,1,0.2265997,0.7734003067016602
trace_11,1,0.99710554,0.002894461154937744
trace_12,0,0.60095775,0.6009577512741089
trace_13,0,0.007997586,0.007997586391866207
trace_14,1,0.9949911,0.005008876323699951
trace_15,0,0.0026599905,0.0026599904522299767
trace_16,0,0.02116841,0.021168410778045654
trace_17,1,0.98741853,0.012581467628479004
trace_18,1,0.99222773,0.007772266864776611
trace_19,1,0.98890054,0.011099457740783691
trace_20,0,0.003125352,0.0031253520864993334
trace_21,1,0.98871905,0.011280953884124756
trace_22,1,0.21873231,0.7812676876783371
trace_23,1,0.9925903,0.00740969181060791
trace_24,1,0.99856013,0.0014398694038391113
trace_25,0,0.34699866,0.3469986617565155
trace_26,0,0.014857402,0.014857402071356773
trace_27,0,0.002804256,0.0028042560443282127
trace_28,1,0.9836865,0.016313493251800537
trace_29,0,0.028193086,0.02819308638572693
trace_30,0,0.03681134,0.03681134060025215
trace_31,1,0.98728067,0.012719333171844482
trace_32,0,0.012621158,0.012621157802641392
trace_33,1,0.9984768,0.0015231966972351074
trace_34,0,0.001679749,0.0016797489952296019
trace_35,1,0.9973174,0.002682626247406006
trace_36,0,0.038111363,0.038111362606287
trace_37,0,0.04909936,0.049099359661340714
trace_38,0,0.017771848,0.017771847546100616
trace_39,1,0.011187275,0.9888127250596881
trace_40,1,0.99380636,0.006193637847900391
trace_41,0,0.005183395,0.0051833949983119965
trace_42,1,0.9985341,0.001465916633605957
trace_43,1,0.99799865,0.002001345157623291
trace_44,1,0.9935288,0.006471216678619385
trace_45,1,0.63727975,0.362720251083374
trace_46,1,0.99407035,0.0059296488761901855
trace_47,1,0.9953135,0.004686474800109863
trace_48,1,0.9983596,0.0016403794288635254
trace_49,1,0.99082094,0.00917905569076538
trace_50,1,0.9933868,0.006613194942474365
trace_51,0,0.03128976,0.031289760023355484
trace_52,0,0.0016690086,0.0016690086340531707
trace_53,0,0.0039277645,0.003927764482796192
trace_54,0,0.031196902,0.031196901574730873
trace_55,1,0.9942076,0.005792379379272461
trace_56,1,0.9983032,0.0016968250274658203
trace_57,1,0.9962153,0.0037847161293029785
trace_58,1,0.90314716,0.09685283899307251
trace_59,1,0.99746203,0.002537965774536133
trace_60,1,0.9979188,0.0020812153816223145
trace_61,1,0.99708515,0.0029148459434509277
trace_62,1,0.99876535,0.0012346506118774414
trace_63,1,0.9941597,0.005840301513671875
